label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.975,1.1142,1.4552,0.9,0.7858,0.8986,17.9,320.85128205128206,896.8153846153846,80,watershed,setting80.jpg
2,0.3875,0.7024,0.899,0.5727,0.7709,0.9172,32.6,349.6258064516129,795.516129032258,80,watershed,setting80.jpg
3,0.5925,0.8686,1.0266,0.7544,0.6782,0.9331,2.0,354.2447257383966,867.0675105485232,80,watershed,setting80.jpg
4,0.345,0.6628,0.8687,0.5198,0.8012,0.902,8.5,362.19565217391306,825.4420289855072,80,watershed,setting80.jpg
5,0.8,1.0093,1.2394,0.8411,0.7344,0.9357,1.0,371.21875,894.79375,80,watershed,setting80.jpg
6,2.385,1.7426,3.1689,1.0454,0.944,0.7858,10.7,390.20649895178195,782.7714884696016,80,watershed,setting80.jpg
7,0.175,0.472,0.6484,0.3703,0.8208,0.8642,25.2,396.24285714285713,605.4,80,watershed,setting80.jpg
8,2.375,1.7389,2.0759,1.5069,0.6878,0.8912,14.9,419.3042105263158,559.8715789473684,80,watershed,setting80.jpg
9,1.14,1.2048,1.5927,1.006,0.7753,0.8071,91.9,442.08991228070175,564.4583333333334,80,watershed,setting80.jpg
10,0.2975,0.6155,0.7229,0.5263,0.6855,0.9754,1.2,445.5126050420168,882.2268907563025,80,watershed,setting80.jpg
11,0.61,0.8813,1.1908,0.669,0.8273,0.9037,4.4,449.4836065573771,858.6639344262295,80,watershed,setting80.jpg
12,0.1575,0.4478,0.5776,0.374,0.7622,0.9265,10.0,448.6666666666667,1061.5079365079366,80,watershed,setting80.jpg
13,0.3725,0.6887,0.8584,0.6201,0.6915,0.8371,32.8,470.744966442953,678.6711409395973,80,watershed,setting80.jpg
14,0.6875,0.9356,1.1225,0.852,0.651,0.854,4.6,480.6363636363636,850.6436363636363,80,watershed,setting80.jpg
15,0.2425,0.5557,0.7157,0.4536,0.7734,0.8818,5.8,480.0927835051546,738.1030927835052,80,watershed,setting80.jpg
16,0.295,0.6129,0.7685,0.5342,0.719,0.8741,24.4,490.10169491525426,546.3135593220339,80,watershed,setting80.jpg
17,0.445,0.7527,0.8917,0.6611,0.671,0.9082,24.6,495.15168539325845,384.2415730337079,80,watershed,setting80.jpg
18,0.445,0.7527,0.9765,0.6005,0.7886,0.9082,151.1,498.20786516853934,1372.4775280898875,80,watershed,setting80.jpg
19,0.2675,0.5836,0.6551,0.525,0.5982,0.9224,1.9,508.7383177570093,811.6915887850467,80,watershed,setting80.jpg
20,1.68,1.4625,1.8859,1.2756,0.7365,0.8442,16.8,538.2142857142857,970.65625,80,watershed,setting80.jpg
21,0.52,0.8137,1.0083,0.6613,0.7549,0.9455,14.8,546.4711538461538,948.6875,80,watershed,setting80.jpg
22,0.4925,0.7919,0.9342,0.7688,0.5682,0.8717,3.3,585.3959390862944,920.4111675126903,80,watershed,setting80.jpg
23,1.8425,1.5316,2.008,1.3373,0.746,0.784,5.0,603.4219810040705,475.2225237449118,80,watershed,setting80.jpg
24,0.675,0.9271,1.1818,0.7802,0.7511,0.8795,2.4,606.1962962962963,929.3629629629629,80,watershed,setting80.jpg
25,0.6775,0.9288,1.3252,0.672,0.8619,0.9281,0.7,645.4649446494465,820.649446494465,80,watershed,setting80.jpg
26,0.8975,1.069,1.4317,0.817,0.8212,0.9229,16.1,661.1671309192201,768.8718662952646,80,watershed,setting80.jpg
27,1.3775,1.3243,1.9219,1.2433,0.7626,0.711,49.0,685.431941923775,592.3067150635209,80,watershed,setting80.jpg
28,0.82,1.0218,1.2527,0.8493,0.7351,0.9371,14.9,717.6189024390244,565.5365853658536,80,watershed,setting80.jpg
29,0.5175,0.8117,1.1947,0.5913,0.8689,0.8846,7.4,714.7874396135265,395.57487922705315,80,watershed,setting80.jpg
30,0.9775,1.1156,1.4305,0.8833,0.7866,0.9243,19.4,723.0613810741688,1125.9539641943734,80,watershed,setting80.jpg
31,0.6725,0.9253,1.2819,0.6897,0.843,0.9181,28.7,724.6171003717473,1052.9665427509294,80,watershed,setting80.jpg
32,0.76,0.9837,1.2295,0.8629,0.7123,0.8398,20.9,724.7697368421053,472.05263157894734,80,watershed,setting80.jpg
33,0.19,0.4918,0.5904,0.4666,0.6126,0.8261,3.3,741.4473684210526,795.2763157894736,80,watershed,setting80.jpg
34,0.29,0.6077,0.8531,0.4564,0.8448,0.8923,158.0,744.5948275862069,857.8965517241379,80,watershed,setting80.jpg
35,1.205,1.2386,1.2927,1.2142,0.3433,0.9432,10.6,751.1099585062241,730.0435684647302,80,watershed,setting80.jpg
36,0.02,0.1596,0.401,0.0648,0.9869,0.8,0.0,745.25,798.75,80,watershed,setting80.jpg
37,0.4475,0.7548,0.9721,0.6288,0.7626,0.8818,12.7,754.463687150838,801.413407821229,80,watershed,setting80.jpg
38,0.915,1.0794,1.4657,0.842,0.8185,0.8841,46.8,774.4371584699453,360.5081967213115,80,watershed,setting80.jpg
39,0.4075,0.7203,0.9698,0.5498,0.8238,0.8907,1.9,809.4110429447853,532.717791411043,80,watershed,setting80.jpg
40,1.7225,1.4809,2.7905,0.8793,0.9491,0.7733,20.5,867.3410740203193,560.4194484760523,80,watershed,setting80.jpg
41,1.1175,1.1928,1.7037,0.9063,0.8468,0.8202,23.5,865.9463087248322,427.6040268456376,80,watershed,setting80.jpg
42,1.66,1.4538,1.8473,1.1842,0.7675,0.8502,11.6,873.1852409638554,325.2364457831325,80,watershed,setting80.jpg
43,1.2475,1.2603,1.5331,1.0807,0.7093,0.9327,12.3,879.0460921843687,828.5350701402806,80,watershed,setting80.jpg
44,1.5275,1.3946,1.7337,1.2357,0.7014,0.8618,22.4,879.4418985270049,862.0,80,watershed,setting80.jpg
45,0.5975,0.8722,1.5195,0.5912,0.9212,0.6908,19.8,879.2384937238494,527.2301255230126,80,watershed,setting80.jpg
46,0.4075,0.7203,0.8834,0.6573,0.6681,0.8402,31.6,891.319018404908,1002.9938650306749,80,watershed,setting80.jpg
47,2.29,1.7075,1.8179,1.6871,0.3725,0.8937,18.8,914.2347161572052,408.96724890829694,80,watershed,setting80.jpg
48,2.8525,1.9058,2.6263,1.5684,0.8021,0.7647,24.6,930.2480280455741,1084.6108676599474,80,watershed,setting80.jpg
49,0.565,0.8482,1.0775,0.7211,0.7431,0.8496,47.7,921.29203539823,524.6238938053098,80,watershed,setting80.jpg
50,0.34,0.658,0.9037,0.52,0.8178,0.8553,4.1,929.1102941176471,668.7352941176471,80,watershed,setting80.jpg
51,0.1725,0.4687,0.5604,0.4068,0.6878,0.8961,2.7,929.8840579710145,1064.376811594203,80,watershed,setting80.jpg
52,1.2525,1.2628,1.9084,0.8619,0.8922,0.9176,17.4,942.9401197604791,617.754491017964,80,watershed,setting80.jpg
53,0.3325,0.6507,0.9015,0.5044,0.8288,0.911,1.0,935.8872180451128,888.5112781954887,80,watershed,setting80.jpg
