label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
8,0.14,0.4222,0.5205,0.3423,0.7534,0.9655,26.6,147.16071428571428,479.57142857142856,20,watershed,setting20-1.jpg
14,0.13,0.4068,0.4709,0.3524,0.6634,0.963,21.9,321.8269230769231,494.7307692307692,20,watershed,setting20-1.jpg
16,0.1625,0.4549,0.5662,0.381,0.7397,0.9028,10.8,356.03076923076924,801.9846153846154,20,watershed,setting20-1.jpg
17,0.2825,0.5997,0.7274,0.4976,0.7294,0.9496,4.8,361.1946902654867,840.8230088495575,20,watershed,setting20-1.jpg
18,0.1125,0.3785,0.4549,0.3419,0.6596,0.8654,21.7,362.8,861.5555555555555,20,watershed,setting20-1.jpg
28,0.24,0.5528,1.1978,0.3919,0.945,0.6761,18.4,382.09375,458.7604166666667,20,watershed,setting20-1.jpg
29,0.3075,0.6257,1.1034,0.4779,0.9013,0.6721,14.3,394.6016260162602,419.2357723577236,20,watershed,setting20-1.jpg
30,0.31,0.6283,0.7949,0.5197,0.7567,0.9051,9.8,398.6693548387097,1101.2096774193549,20,watershed,setting20-1.jpg
31,0.115,0.3827,0.5441,0.2768,0.8609,0.92,11.0,402.5217391304348,1141.4130434782608,20,watershed,setting20-1.jpg
32,0.1675,0.4618,0.6257,0.3591,0.8189,0.859,12.3,411.25373134328356,440.34328358208955,20,watershed,setting20-1.jpg
33,0.09,0.3385,0.3909,0.305,0.6254,0.973,13.1,409.3611111111111,464.52777777777777,20,watershed,setting20-1.jpg
34,0.355,0.6723,1.0251,0.6008,0.8102,0.703,24.2,415.67605633802816,854.4154929577464,20,watershed,setting20-1.jpg
35,1.0925,1.1794,2.3657,0.7908,0.9425,0.6926,1.3,443.5652173913044,753.7322654462242,20,watershed,setting20-1.jpg
36,0.185,0.4853,0.7812,0.3231,0.9105,0.8222,10.2,429.3783783783784,561.7297297297297,20,watershed,setting20-1.jpg
37,0.1175,0.3868,0.4506,0.331,0.6786,0.94,3.9,433.0,779.4042553191489,20,watershed,setting20-1.jpg
38,0.115,0.3827,0.6141,0.2602,0.9058,0.8846,15.4,434.7826086956522,529.0869565217391,20,watershed,setting20-1.jpg
39,0.2825,0.5997,0.7374,0.5131,0.7183,0.8828,8.6,438.3008849557522,933.6902654867257,20,watershed,setting20-1.jpg
40,0.2325,0.5441,0.7926,0.3831,0.8755,0.9029,9.5,442.3225806451613,1174.6344086021506,20,watershed,setting20-1.jpg
41,0.1425,0.426,0.5455,0.3334,0.7914,0.9344,4.4,446.7543859649123,1026.9649122807018,20,watershed,setting20-1.jpg
42,0.06,0.2764,0.3406,0.2247,0.7515,0.9231,7.9,451.2083333333333,644.7916666666666,20,watershed,setting20-1.jpg
43,0.1525,0.4406,0.4904,0.4014,0.5745,0.9683,6.5,455.5081967213115,713.7540983606557,20,watershed,setting20-1.jpg
44,0.3375,0.6555,1.3118,0.3736,0.9586,0.7849,4.4,462.27407407407406,789.3333333333334,20,watershed,setting20-1.jpg
45,0.1975,0.5015,0.7281,0.4204,0.8164,0.7745,16.9,466.746835443038,590.8987341772151,20,watershed,setting20-1.jpg
46,0.1025,0.3613,0.6089,0.2635,0.9015,0.7885,13.4,468.2926829268293,771.9268292682926,20,watershed,setting20-1.jpg
47,0.105,0.3656,0.4266,0.3206,0.6598,0.8936,15.5,471.1904761904762,394.5,20,watershed,setting20-1.jpg
48,0.1175,0.3868,0.4025,0.3857,0.2863,0.9592,3.9,471.59574468085106,543.7872340425532,20,watershed,setting20-1.jpg
49,0.47,0.7736,1.0774,0.6589,0.7912,0.8174,1.1,481.52127659574467,800.5372340425532,20,watershed,setting20-1.jpg
50,0.0875,0.3338,0.369,0.3023,0.5735,0.9722,17.4,477.8857142857143,1112.3142857142857,20,watershed,setting20-1.jpg
51,0.78,0.9966,1.2336,1.0629,0.5075,0.7107,10.0,485.31089743589746,1125.6089743589744,20,watershed,setting20-1.jpg
52,0.1,0.3568,0.5307,0.2412,0.8907,0.9524,7.6,479.425,498.5,20,watershed,setting20-1.jpg
53,0.1875,0.4886,0.8015,0.3419,0.9045,0.8427,3.5,483.1066666666667,564.2133333333334,20,watershed,setting20-1.jpg
54,0.745,0.9739,1.618,0.6902,0.9044,0.8142,1.9,486.71812080536915,585.238255033557,20,watershed,setting20-1.jpg
55,0.105,0.3656,0.4242,0.3193,0.6584,0.913,4.4,481.04761904761904,616.7380952380952,20,watershed,setting20-1.jpg
56,0.1725,0.4687,0.5045,0.4518,0.4451,0.8961,21.3,488.0,429.2028985507246,20,watershed,setting20-1.jpg
57,0.145,0.4297,0.518,0.3709,0.6981,0.9355,5.6,488.37931034482756,440.67241379310343,20,watershed,setting20-1.jpg
58,0.175,0.472,0.5639,0.3995,0.7057,0.9211,9.0,488.54285714285714,1145.6285714285714,20,watershed,setting20-1.jpg
59,0.2725,0.589,0.6587,0.5346,0.5842,0.9316,4.1,491.5321100917431,490.23853211009174,20,watershed,setting20-1.jpg
60,0.1925,0.4951,0.6586,0.4342,0.7519,0.8556,9.4,497.45454545454544,407.6753246753247,20,watershed,setting20-1.jpg
61,0.105,0.3656,0.465,0.2849,0.7903,0.9767,4.6,495.1666666666667,567.452380952381,20,watershed,setting20-1.jpg
62,0.6225,0.8903,1.6545,0.5949,0.9331,0.7302,3.4,505.8995983935743,459.99196787148594,20,watershed,setting20-1.jpg
63,0.1275,0.4029,0.5123,0.3152,0.7883,0.9444,3.3,498.3529411764706,645.7450980392157,20,watershed,setting20-1.jpg
