label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.0125,0.1262,0.1549,0.0894,0.8165,1.0,135.8,1.4,364.8,60,watershed,setting60-3.jpg
8,0.16,0.4514,0.5383,0.3829,0.7029,0.9697,15.4,121.40625,699.640625,60,watershed,setting60-3.jpg
9,0.4775,0.7797,0.8331,0.7429,0.4527,0.9455,6.0,138.36125654450262,778.3874345549738,60,watershed,setting60-3.jpg
10,0.66,0.9167,1.0731,0.7925,0.6743,0.9496,8.0,145.25378787878788,863.6287878787879,60,watershed,setting60-3.jpg
11,0.6825,0.9322,1.0295,0.8816,0.5164,0.9192,11.3,150.98901098901098,836.7655677655678,60,watershed,setting60-3.jpg
12,0.2525,0.567,0.8812,0.5033,0.8208,0.7266,50.0,204.77227722772278,685.4158415841584,60,watershed,setting60-3.jpg
13,0.1475,0.4334,0.46,0.41,0.4532,0.9672,18.7,209.57627118644066,429.271186440678,60,watershed,setting60-3.jpg
14,0.1175,0.3868,0.5834,0.337,0.8163,0.7581,90.8,223.5744680851064,778.7872340425532,60,watershed,setting60-3.jpg
15,0.4475,0.7548,1.0915,0.5552,0.861,0.895,12.6,261.463687150838,700.7430167597765,60,watershed,setting60-3.jpg
16,0.665,0.9202,1.0856,0.8789,0.587,0.8636,11.9,296.72556390977445,609.218045112782,60,watershed,setting60-3.jpg
17,0.83,1.028,1.1396,0.9415,0.5633,0.9513,7.1,312.50602409638554,451.144578313253,60,watershed,setting60-3.jpg
18,0.18,0.4787,0.5142,0.4963,0.2616,0.9,19.2,311.9166666666667,818.4305555555555,60,watershed,setting60-3.jpg
19,0.3975,0.7114,0.846,0.6185,0.6822,0.9298,16.8,323.34591194968556,784.5094339622641,60,watershed,setting60-3.jpg
20,1.3075,1.2903,1.4558,1.1654,0.5993,0.9475,5.3,340.5697896749522,804.263862332696,60,watershed,setting60-3.jpg
21,1.0775,1.1713,1.4652,0.9584,0.7564,0.9349,5.7,367.03944315545243,801.3248259860788,60,watershed,setting60-3.jpg
27,0.5075,0.8038,0.9637,0.6869,0.7014,0.9186,38.7,390.6847290640394,1007.0295566502463,60,watershed,setting60-3.jpg
