label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.2975,0.6155,0.8088,0.5306,0.7547,0.8686,13.1,26.630252100840337,681.09243697479,20,watershed,setting20-2.jpg
2,0.6525,0.9115,1.4072,0.6671,0.8805,0.8233,7.6,70.57471264367815,787.5440613026819,20,watershed,setting20-2.jpg
3,0.2375,0.5499,0.6015,0.5135,0.5208,0.9406,10.4,93.05263157894737,925.4,20,watershed,setting20-2.jpg
4,1.13,1.1995,1.7728,0.9778,0.8341,0.7175,9.4,159.45353982300884,698.7721238938053,20,watershed,setting20-2.jpg
5,0.625,0.8921,1.6423,0.5548,0.9412,0.7862,7.4,156.076,554.6,20,watershed,setting20-2.jpg
6,0.145,0.4297,0.5524,0.4068,0.6764,0.8056,5.6,157.20689655172413,839.1896551724138,20,watershed,setting20-2.jpg
7,0.3,0.618,1.1354,0.3834,0.9413,0.7947,2.0,169.0,612.9,20,watershed,setting20-2.jpg
8,0.1075,0.37,0.4239,0.3264,0.6381,0.9348,11.7,174.27906976744185,915.0232558139535,20,watershed,setting20-2.jpg
9,0.295,0.6129,0.853,0.4531,0.8472,0.9219,2.3,182.23728813559322,745.2627118644068,20,watershed,setting20-2.jpg
10,0.1275,0.4029,0.4273,0.382,0.4484,0.9444,3.3,181.76470588235293,560.0784313725491,20,watershed,setting20-2.jpg
11,0.1375,0.4184,0.5644,0.3251,0.8174,0.9322,5.1,181.9090909090909,863.8,20,watershed,setting20-2.jpg
12,0.0975,0.3523,0.4404,0.2791,0.7734,0.9512,0.7,192.5897435897436,770.4358974358975,20,watershed,setting20-2.jpg
13,0.145,0.4297,0.5634,0.3281,0.813,0.9667,1.5,193.1551724137931,632.3275862068965,20,watershed,setting20-2.jpg
14,0.345,0.6628,1.1269,0.4398,0.9207,0.8466,1.9,199.43478260869566,898.3985507246376,20,watershed,setting20-2.jpg
15,0.1025,0.3613,0.5072,0.2596,0.859,0.9762,4.1,195.90243902439025,576.1463414634146,20,watershed,setting20-2.jpg
