label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,1.39,1.3303,1.6857,1.1043,0.7556,0.9537,3.4,100.00179856115108,926.7428057553957,80,watershed,setting80-2.jpg
2,0.9575,1.1041,1.604,0.7792,0.8741,0.9387,8.0,243.03916449086162,866.5535248041775,80,watershed,setting80-2.jpg
3,1.1925,1.2322,1.5885,0.9945,0.7798,0.954,2.6,327.65618448637315,805.9748427672956,80,watershed,setting80-2.jpg
4,2.1625,1.6593,1.8507,1.6336,0.47,0.9361,8.0,343.59537572254334,880.1387283236994,80,watershed,setting80-2.jpg
5,1.0475,1.1549,1.3248,1.0267,0.632,0.9168,5.0,346.50357995226733,786.1789976133651,80,watershed,setting80-2.jpg
6,0.7475,0.9756,1.153,0.8493,0.6763,0.9373,9.3,372.9197324414716,1086.448160535117,80,watershed,setting80-2.jpg
7,0.2975,0.6155,0.6977,0.5657,0.5853,0.9754,19.7,372.3613445378151,5.34453781512605,80,watershed,setting80-2.jpg
8,2.275,1.7019,2.1256,1.459,0.7272,0.8758,4.2,388.58351648351646,915.0417582417582,80,watershed,setting80-2.jpg
9,0.64,0.9027,1.2365,0.7116,0.8178,0.9046,3.9,396.20703125,852.765625,80,watershed,setting80-2.jpg
10,0.9275,1.0867,1.5363,0.8365,0.8388,0.9183,2.9,413.34501347708897,647.2911051212938,80,watershed,setting80-2.jpg
11,0.8675,1.051,1.618,0.8116,0.8651,0.7643,6.7,431.9884726224784,870.164265129683,80,watershed,setting80-2.jpg
12,1.22,1.2463,1.3505,1.1915,0.4707,0.9439,1.5,451.1844262295082,567.6065573770492,80,watershed,setting80-2.jpg
13,1.595,1.4251,2.2652,0.9221,0.9134,0.9167,2.8,462.9717868338558,28.587774294670847,80,watershed,setting80-2.jpg
14,0.46,0.7653,0.9734,0.6405,0.753,0.9246,7.1,449.7119565217391,839.6521739130435,80,watershed,setting80-2.jpg
15,2.2325,1.686,2.1498,1.4205,0.7506,0.9011,0.8,488.0582306830907,540.8443449048152,80,watershed,setting80-2.jpg
16,0.6575,0.915,1.077,0.8251,0.6427,0.8915,16.8,485.4562737642586,1044.9733840304182,80,watershed,setting80-2.jpg
17,0.8975,1.069,1.6149,0.7296,0.8921,0.9276,3.7,492.5598885793872,652.008356545961,80,watershed,setting80-2.jpg
18,0.8825,1.06,1.2556,0.9224,0.6784,0.8781,3.5,504.1643059490085,756.6628895184136,80,watershed,setting80-2.jpg
19,0.6475,0.908,1.0598,0.917,0.5013,0.8275,2.4,533.8532818532818,519.1930501930502,80,watershed,setting80-2.jpg
20,1.8175,1.5212,2.2431,1.1322,0.8633,0.8215,14.2,540.2462173314993,1075.1898211829437,80,watershed,setting80-2.jpg
21,0.935,1.0911,1.8851,0.8711,0.8868,0.6812,2.6,530.6176470588235,459.3368983957219,80,watershed,setting80-2.jpg
22,0.7175,0.9558,1.5694,0.6889,0.8985,0.7553,11.4,535.6341463414634,879.5993031358885,80,watershed,setting80-2.jpg
