label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
2,0.02,0.1596,0.3074,0.0962,0.9497,0.8,156.2,1.375,1034.125,20,watershed,setting20-3.jpg
10,0.3675,0.684,0.7985,0.6334,0.6089,0.8647,6.5,308.72108843537416,823.3605442176871,20,watershed,setting20-3.jpg
19,0.1175,0.3868,0.4229,0.3545,0.5453,0.8868,3.7,383.78723404255317,828.1489361702128,20,watershed,setting20-3.jpg
20,0.2275,0.5382,0.7125,0.4237,0.804,0.9381,3.7,401.13186813186815,485.4835164835165,20,watershed,setting20-3.jpg
21,0.2075,0.514,0.6719,0.4063,0.7964,0.883,2.1,431.5903614457831,753.710843373494,20,watershed,setting20-3.jpg
22,0.28,0.5971,0.793,0.4619,0.8128,0.8889,3.2,455.79464285714283,461.30357142857144,20,watershed,setting20-3.jpg
23,0.235,0.547,0.679,0.4516,0.7468,0.94,4.4,468.75531914893617,889.436170212766,20,watershed,setting20-3.jpg
24,0.12,0.3909,0.464,0.3405,0.6793,0.9796,0.0,486.5,654.3958333333334,20,watershed,setting20-3.jpg
25,0.19,0.4918,0.6871,0.3705,0.8422,0.8941,0.1,493.6578947368421,612.5657894736842,20,watershed,setting20-3.jpg
26,0.1375,0.4184,0.5887,0.3161,0.8436,0.8871,0.7,499.3636363636364,870.6,20,watershed,setting20-3.jpg
27,0.145,0.4297,0.4893,0.3834,0.6214,0.9508,0.5,510.86206896551727,566.8965517241379,20,watershed,setting20-3.jpg
28,0.1075,0.37,0.4877,0.3028,0.7839,0.86,1.9,509.8837209302326,781.8372093023256,20,watershed,setting20-3.jpg
29,0.07,0.2985,0.3434,0.2625,0.6449,0.9032,1.2,522.1071428571429,910.1785714285714,20,watershed,setting20-3.jpg
30,0.1925,0.4951,0.5216,0.4918,0.3329,0.9167,0.3,526.1038961038961,481.3766233766234,20,watershed,setting20-3.jpg
