label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,1.29,1.2816,1.4565,1.1973,0.5694,0.8716,8.0,154.6124031007752,751.7383720930233,80,watershed,setting80-3.jpg
2,1.205,1.2386,1.629,0.9718,0.8026,0.8942,4.4,166.04564315352698,725.7448132780083,80,watershed,setting80-3.jpg
3,2.045,1.6136,2.5186,1.0752,0.9043,0.9009,5.2,176.14058679706602,786.4706601466993,80,watershed,setting80-3.jpg
4,2.51,1.7877,2.3818,1.4627,0.7892,0.9144,4.4,220.89641434262947,876.2250996015936,80,watershed,setting80-3.jpg
5,2.3725,1.738,2.254,1.4496,0.7658,0.9277,2.8,235.4899894625922,662.1106427818756,80,watershed,setting80-3.jpg
6,1.99,1.5918,1.9571,1.3583,0.7199,0.9171,3.2,276.79145728643215,581.9321608040201,80,watershed,setting80-3.jpg
7,0.71,0.9508,1.0714,0.9056,0.5343,0.9342,4.4,320.00704225352115,715.4119718309859,80,watershed,setting80-3.jpg
8,0.4675,0.7715,1.0021,0.6503,0.7609,0.8618,2.2,351.048128342246,676.3529411764706,80,watershed,setting80-3.jpg
9,1.5325,1.3969,1.9613,1.0669,0.8391,0.8782,0.6,381.1908646003263,729.4763458401305,80,watershed,setting80-3.jpg
10,0.4725,0.7756,0.8127,0.7514,0.381,0.9594,1.1,409.58730158730157,734.1746031746031,80,watershed,setting80-3.jpg
11,2.3325,1.7233,1.926,1.5754,0.5753,0.9265,3.7,438.22722400857447,1153.4405144694533,80,watershed,setting80-3.jpg
12,2.0725,1.6244,2.3548,1.2378,0.8507,0.8503,6.0,454.0952955367913,740.8721351025332,80,watershed,setting80-3.jpg
13,0.375,0.691,0.7417,0.6638,0.4463,0.9317,0.1,456.2,689.6666666666666,80,watershed,setting80-3.jpg
14,0.6425,0.9045,0.9984,0.9305,0.3625,0.8371,0.4,478.02334630350197,711.1984435797665,80,watershed,setting80-3.jpg
15,0.4675,0.7715,0.8537,0.706,0.5621,0.9397,1.6,527.1978609625669,616.0213903743315,80,watershed,setting80-3.jpg
16,0.3675,0.684,0.8484,0.5657,0.7453,0.9188,1.1,530.1768707482993,601.1836734693877,80,watershed,setting80-3.jpg
