label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,1.3425,1.3074,1.6805,1.0446,0.7833,0.9275,10.2,67.56797020484171,956.8510242085661,80,watershed,setting80-1.jpg
2,0.4525,0.759,0.9037,0.6554,0.6886,0.9378,17.8,214.45303867403314,478.56906077348066,80,watershed,setting80-1.jpg
3,0.305,0.6232,0.7059,0.5929,0.5426,0.9242,0.5,328.4590163934426,532.4180327868852,80,watershed,setting80-1.jpg
4,1.415,1.3422,1.5837,1.1494,0.6879,0.9465,6.1,342.9416961130742,558.8409893992933,80,watershed,setting80-1.jpg
5,0.2925,0.6103,1.0185,0.3809,0.9274,0.907,21.1,339.2307692307692,531.8119658119658,80,watershed,setting80-1.jpg
6,0.63,0.8956,1.1455,0.7417,0.7621,0.9474,5.1,361.49603174603175,583.6190476190476,80,watershed,setting80-1.jpg
7,0.8525,1.0418,1.2793,0.8534,0.745,0.9552,17.8,471.4193548387097,1130.7624633431085,80,watershed,setting80-1.jpg
8,0.705,0.9474,1.2696,0.7236,0.8217,0.8924,2.6,490.8404255319149,531.8758865248227,80,watershed,setting80-1.jpg
9,0.695,0.9407,1.2435,0.8306,0.7442,0.7966,6.7,490.5647482014389,507.3273381294964,80,watershed,setting80-1.jpg
10,0.19,0.4918,0.5856,0.4525,0.6348,0.9157,0.5,495.4605263157895,483.05263157894734,80,watershed,setting80-1.jpg
11,0.72,0.9575,1.2621,0.8199,0.7603,0.7742,4.4,507.09375,478.78819444444446,80,watershed,setting80-1.jpg
12,1.0125,1.1354,1.5075,1.0635,0.7087,0.7542,10.1,528.7259259259259,529.1530864197531,80,watershed,setting80-1.jpg
13,0.495,0.7939,0.9474,0.6874,0.6881,0.8684,4.7,533.3383838383838,477.1868686868687,80,watershed,setting80-1.jpg
14,0.26,0.5754,0.9791,0.4645,0.8803,0.6842,3.4,538.1153846153846,547.5961538461538,80,watershed,setting80-1.jpg
15,0.3175,0.6358,0.7334,0.5689,0.6311,0.9137,2.5,538.5196850393701,514.5590551181102,80,watershed,setting80-1.jpg
16,0.075,0.309,0.5417,0.2857,0.8496,0.6522,25.0,536.2666666666667,551.8666666666667,80,watershed,setting80-1.jpg
17,0.9575,1.1041,1.5961,0.9158,0.819,0.7881,1.2,567.201044386423,480.2219321148825,80,watershed,setting80-1.jpg
18,0.56,0.8444,0.9834,0.7352,0.6641,0.9492,1.2,567.7232142857143,883.0089285714286,80,watershed,setting80-1.jpg
19,0.9375,1.0925,1.4055,1.0939,0.6279,0.7129,20.5,568.5893333333333,986.88,80,watershed,setting80-1.jpg
20,1.4875,1.3762,2.0493,0.991,0.8753,0.8907,0.7,600.6016806722689,540.181512605042,80,watershed,setting80-1.jpg
21,1.2,1.2361,1.7102,0.9493,0.8318,0.8541,28.0,601.5020833333333,624.0729166666666,80,watershed,setting80-1.jpg
22,1.81,1.5181,1.5497,1.517,0.2043,0.9526,0.7,602.8881215469613,941.164364640884,80,watershed,setting80-1.jpg
23,0.485,0.7858,0.9236,0.7122,0.6367,0.8546,3.1,602.180412371134,847.7010309278351,80,watershed,setting80-1.jpg
24,1.105,1.1861,1.5482,0.9291,0.7999,0.9485,0.9,617.0565610859728,902.816742081448,80,watershed,setting80-1.jpg
25,1.1725,1.2218,1.5836,1.083,0.7296,0.7843,71.0,627.90618336887,825.6396588486141,80,watershed,setting80-1.jpg
26,0.7475,0.9756,1.663,0.6507,0.9203,0.8375,1.5,620.3076923076923,586.5117056856187,80,watershed,setting80-1.jpg
27,0.52,0.8137,1.2314,0.5917,0.877,0.8093,0.9,623.8653846153846,753.2980769230769,80,watershed,setting80-1.jpg
28,0.855,1.0434,1.1919,0.9454,0.609,0.9526,2.2,632.5818713450292,997.5584795321637,80,watershed,setting80-1.jpg
29,0.78,0.9966,1.3443,0.7746,0.8173,0.9541,1.2,637.8365384615385,862.9391025641025,80,watershed,setting80-1.jpg
30,0.535,0.8253,0.9804,0.7156,0.6836,0.903,3.0,639.9345794392524,763.7570093457944,80,watershed,setting80-1.jpg
31,1.775,1.5033,2.1841,1.1769,0.8424,0.8473,5.5,647.5577464788732,375.1943661971831,80,watershed,setting80-1.jpg
32,0.3725,0.6887,1.0809,0.6461,0.8017,0.7028,4.8,636.7651006711409,931.5704697986578,80,watershed,setting80-1.jpg
33,1.6225,1.4373,1.5407,1.357,0.4735,0.9406,1.6,663.0462249614792,310.5331278890601,80,watershed,setting80-1.jpg
34,0.7075,0.9491,1.2868,0.7287,0.8242,0.9248,0.5,673.0812720848056,1005.3250883392226,80,watershed,setting80-1.jpg
35,1.3925,1.3315,1.6585,1.1305,0.7317,0.9042,2.6,685.1202872531418,984.8922800718133,80,watershed,setting80-1.jpg
36,1.5525,1.406,2.3584,1.2033,0.86,0.675,1.1,686.743961352657,722.8244766505636,80,watershed,setting80-1.jpg
37,0.5925,0.8686,1.543,0.6688,0.9012,0.7796,1.5,677.8016877637131,602.9873417721519,80,watershed,setting80-1.jpg
38,0.57,0.8519,1.1232,0.686,0.7918,0.8702,8.6,689.469298245614,549.2675438596491,80,watershed,setting80-1.jpg
39,0.48,0.7818,1.249,0.7789,0.7817,0.6553,6.2,688.6927083333334,885.9739583333334,80,watershed,setting80-1.jpg
40,0.6775,0.9288,1.8045,0.6818,0.9259,0.6708,2.8,700.2509225092251,407.6236162361624,80,watershed,setting80-1.jpg
41,1.66,1.4538,2.0367,1.1829,0.8141,0.7615,5.5,725.308734939759,339.3855421686747,80,watershed,setting80-1.jpg
42,0.865,1.0495,1.187,0.9728,0.573,0.9153,0.7,729.0664739884393,687.8410404624277,80,watershed,setting80-1.jpg
43,1.275,1.2741,1.675,1.0385,0.7846,0.9307,0.8,732.5588235294117,732.2411764705882,80,watershed,setting80-1.jpg
44,0.8725,1.054,1.5639,1.2259,0.6209,0.6221,2.6,728.8624641833811,872.7449856733524,80,watershed,setting80-1.jpg
45,0.86,1.0464,1.3382,0.84,0.7785,0.9272,1.3,744.6889534883721,703.2994186046511,80,watershed,setting80-1.jpg
46,0.6075,0.8795,1.0916,0.7415,0.7339,0.9067,0.6,751.8106995884774,381.71604938271605,80,watershed,setting80-1.jpg
47,0.91,1.0764,1.4384,0.9599,0.7447,0.8626,3.0,758.804945054945,752.5824175824176,80,watershed,setting80-1.jpg
48,0.83,1.028,1.5029,0.9355,0.7827,0.7545,13.2,755.9397590361446,841.066265060241,80,watershed,setting80-1.jpg
49,0.635,0.8992,1.0002,0.8577,0.5145,0.8944,0.7,770.6062992125984,790.7362204724409,80,watershed,setting80-1.jpg
50,1.8,1.5139,1.6034,1.5041,0.3465,0.9125,2.7,782.2013888888889,247.92638888888888,80,watershed,setting80-1.jpg
51,0.5275,0.8195,1.1464,0.6179,0.8423,0.9056,2.7,775.2843601895735,372.7962085308057,80,watershed,setting80-1.jpg
52,1.03,1.1452,1.4587,1.0228,0.713,0.8257,7.3,788.0946601941747,739.8422330097087,80,watershed,setting80-1.jpg
53,0.405,0.7181,0.8193,0.6504,0.6081,0.9474,0.6,787.4567901234568,539.7592592592592,80,watershed,setting80-1.jpg
54,1.53,1.3957,1.7349,1.2189,0.7116,0.8441,1.9,803.6454248366013,722.437908496732,80,watershed,setting80-1.jpg
55,0.765,0.9869,1.24,1.013,0.5767,0.7303,4.2,799.5882352941177,829.6470588235294,80,watershed,setting80-1.jpg
