label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,2.5625,1.8063,2.322,1.4299,0.7879,0.9251,8.5,239.37658536585366,578.8360975609756,60,watershed,setting60.jpg
2,2.0875,1.6303,2.482,1.2456,0.865,0.8146,14.1,250.17844311377246,622.2502994011976,60,watershed,setting60.jpg
3,1.99,1.5918,2.237,1.3547,0.7958,0.7481,86.0,263.4221105527638,582.7361809045226,60,watershed,setting60.jpg
4,0.9975,1.127,1.7921,0.736,0.9118,0.9089,15.1,317.27568922305767,776.3959899749374,60,watershed,setting60.jpg
5,3.0025,1.9552,3.0336,1.4505,0.8783,0.8404,28.0,390.27643630308074,540.8776019983347,60,watershed,setting60.jpg
6,1.6225,1.4373,2.0119,1.1,0.8373,0.8299,30.7,426.8613251155624,330.9491525423729,60,watershed,setting60.jpg
7,0.5325,0.8234,1.3401,0.6255,0.8844,0.7607,34.6,414.53521126760563,705.4976525821596,60,watershed,setting60.jpg
8,3.06,1.9739,2.977,1.7014,0.8206,0.6358,18.1,444.35539215686276,502.91503267973854,60,watershed,setting60.jpg
9,0.365,0.6817,0.9391,0.5731,0.7922,0.8156,25.7,440.0890410958904,554.027397260274,60,watershed,setting60.jpg
10,1.6525,1.4505,1.6634,1.4246,0.5162,0.8081,16.4,464.5052950075643,658.8698940998487,60,watershed,setting60.jpg
11,0.8325,1.0295,1.3903,0.7844,0.8256,0.9074,8.5,475.25825825825825,314.53453453453454,60,watershed,setting60.jpg
12,1.1575,1.214,1.827,0.8718,0.8788,0.8327,88.8,474.95680345572356,507.87904967602594,60,watershed,setting60.jpg
13,0.0975,0.3523,0.4158,0.3075,0.6731,0.907,5.7,468.1794871794872,500.35897435897436,60,watershed,setting60.jpg
14,0.7,0.9441,1.1108,0.9176,0.5636,0.8434,19.9,484.14285714285717,421.60714285714283,60,watershed,setting60.jpg
15,0.865,1.0495,1.2897,1.0662,0.5627,0.7254,81.0,484.9335260115607,553.9393063583815,60,watershed,setting60.jpg
16,0.1,0.3568,0.541,0.3721,0.726,0.597,139.0,486.125,457.325,60,watershed,setting60.jpg
17,1.01,1.134,1.8584,0.719,0.9221,0.8998,19.1,500.29455445544556,397.5222772277228,60,watershed,setting60.jpg
18,0.6575,0.915,1.4688,0.6694,0.8901,0.7127,28.5,512.1863117870722,478.4980988593156,60,watershed,setting60.jpg
19,1.5825,1.4195,1.7511,1.1942,0.7314,0.8941,53.6,522.2764612954186,356.99368088467617,60,watershed,setting60.jpg
20,0.3075,0.6257,0.7552,0.5456,0.6914,0.8978,67.4,516.089430894309,727.2520325203252,60,watershed,setting60.jpg
21,0.6075,0.8795,1.3546,0.6171,0.8902,0.8901,31.0,527.0452674897119,709.1440329218107,60,watershed,setting60.jpg
22,0.515,0.8098,0.9793,0.6979,0.7015,0.9075,31.5,542.8883495145631,379.8980582524272,60,watershed,setting60.jpg
23,0.42,0.7313,1.1296,0.5991,0.8478,0.7814,16.3,545.5654761904761,507.57738095238096,60,watershed,setting60.jpg
24,0.4225,0.7334,1.1236,0.5077,0.8921,0.9135,36.7,557.2721893491124,531.8343195266273,60,watershed,setting60.jpg
25,0.4325,0.7421,0.8578,0.6921,0.5909,0.8199,8.0,571.8381502890173,360.90751445086704,60,watershed,setting60.jpg
26,0.45,0.7569,0.9739,0.6238,0.768,0.8911,43.2,600.9222222222222,678.4555555555555,60,watershed,setting60.jpg
27,0.4975,0.7959,1.0387,0.6462,0.7829,0.9213,11.8,605.4020100502513,382.89447236180905,60,watershed,setting60.jpg
28,1.61,1.4318,2.3094,1.104,0.8783,0.8,32.7,700.6832298136646,1058.995341614907,60,watershed,setting60.jpg
29,0.7075,0.9491,1.0726,0.9194,0.5151,0.8602,24.2,698.0565371024735,396.43109540636044,60,watershed,setting60.jpg
30,0.6875,0.9356,1.0911,0.8808,0.5901,0.873,86.7,705.050909090909,722.4218181818181,60,watershed,setting60.jpg
31,0.7475,0.9756,1.1688,0.9159,0.6213,0.8352,30.6,715.6889632107024,945.2775919732442,60,watershed,setting60.jpg
32,0.2925,0.6103,0.7848,0.4881,0.7831,0.9141,2.2,724.7350427350427,688.2478632478633,60,watershed,setting60.jpg
33,1.165,1.2179,1.5488,1.1937,0.6372,0.8034,26.4,727.8583690987125,722.1287553648069,60,watershed,setting60.jpg
34,0.615,0.8849,1.1399,0.7223,0.7736,0.8849,4.0,731.939024390244,932.2845528455284,60,watershed,setting60.jpg
35,1.0275,1.1438,1.7346,0.9546,0.8349,0.699,13.5,738.3187347931873,396.1508515815085,60,watershed,setting60.jpg
36,0.285,0.6024,0.9314,0.4183,0.8935,0.8702,18.9,735.4912280701755,624.0438596491229,60,watershed,setting60.jpg
37,0.9325,1.0896,1.6877,0.7858,0.885,0.7707,24.7,749.828418230563,735.7908847184987,60,watershed,setting60.jpg
38,0.5325,0.8234,1.2342,0.6209,0.8642,0.8161,13.5,743.1643192488262,978.8732394366198,60,watershed,setting60.jpg
39,1.81,1.5181,2.3407,1.0218,0.8997,0.8528,29.2,762.5138121546961,423.07872928176795,60,watershed,setting60.jpg
40,0.3175,0.6358,0.9356,0.4441,0.8802,0.8881,24.4,749.8897637795276,374.86614173228344,60,watershed,setting60.jpg
41,0.37,0.6864,0.8737,0.5633,0.7644,0.881,25.8,747.6621621621622,706.4864864864865,60,watershed,setting60.jpg
42,1.4025,1.3363,1.8729,1.0024,0.8447,0.8618,81.1,761.2477718360071,946.663101604278,60,watershed,setting60.jpg
43,0.52,0.8137,1.6454,0.6674,0.9141,0.596,38.4,753.2451923076923,505.52884615384613,60,watershed,setting60.jpg
44,2.43,1.759,2.9317,1.4328,0.8724,0.6219,58.4,765.7777777777778,986.406378600823,60,watershed,setting60.jpg
45,0.42,0.7313,0.9571,0.62,0.7618,0.8528,84.0,758.9642857142857,670.3869047619048,60,watershed,setting60.jpg
46,1.425,1.347,2.0353,0.962,0.8812,0.8879,36.3,772.5842105263158,907.2754385964912,60,watershed,setting60.jpg
47,0.785,0.9997,1.2175,0.8338,0.7287,0.9128,14.8,791.4713375796179,686.7229299363057,60,watershed,setting60.jpg
48,0.2875,0.605,0.8031,0.4681,0.8126,0.9055,60.9,808.6,214.26956521739132,60,watershed,setting60.jpg
49,0.39,0.7047,0.8742,0.6134,0.7125,0.9123,17.0,816.0192307692307,1115.275641025641,60,watershed,setting60.jpg
50,2.2325,1.686,1.9635,1.6961,0.5038,0.8096,39.1,826.1466965285555,726.4860022396416,60,watershed,setting60.jpg
51,0.6075,0.8795,1.1581,0.6931,0.8011,0.9101,35.7,832.7325102880659,639.4814814814815,60,watershed,setting60.jpg
52,0.4275,0.7378,1.2255,0.5098,0.9094,0.8028,17.0,829.4619883040936,686.6023391812865,60,watershed,setting60.jpg
53,1.6,1.4273,2.0977,1.1568,0.8342,0.7199,11.6,840.1625,886.0015625,60,watershed,setting60.jpg
54,0.2775,0.5944,0.7968,0.4789,0.7993,0.8605,49.8,841.7747747747748,973.1891891891892,60,watershed,setting60.jpg
55,1.2225,1.2476,1.5285,1.1586,0.6522,0.7288,60.2,853.6605316973415,712.2903885480573,60,watershed,setting60.jpg
56,0.495,0.7939,1.1087,0.7556,0.7318,0.6471,49.0,852.020202020202,737.5353535353536,60,watershed,setting60.jpg
57,0.55,0.8368,1.3549,0.6489,0.8778,0.7432,11.4,845.6727272727272,753.0363636363636,60,watershed,setting60.jpg
58,1.585,1.4206,1.8436,1.279,0.7202,0.7818,31.1,861.615141955836,847.9132492113565,60,watershed,setting60.jpg
59,0.595,0.8704,1.1084,0.915,0.5645,0.7126,15.2,863.5504201680673,753.6134453781513,60,watershed,setting60.jpg
60,0.7125,0.9525,1.1462,0.8051,0.7118,0.9223,11.4,867.9052631578948,1029.221052631579,60,watershed,setting60.jpg
61,1.325,1.2989,1.7209,1.0728,0.7819,0.8576,9.6,875.8283018867925,654.4471698113208,60,watershed,setting60.jpg
62,1.2725,1.2729,2.1284,1.0787,0.862,0.6081,34.0,869.049115913556,701.6463654223969,60,watershed,setting60.jpg
63,0.835,1.0311,2.1385,0.6303,0.9556,0.7152,20.1,878.8502994011976,722.3592814371258,60,watershed,setting60.jpg
64,0.845,1.0372,1.2096,0.9198,0.6495,0.926,39.2,881.6538461538462,814.9585798816568,60,watershed,setting60.jpg
65,0.3125,0.6308,0.7344,0.5958,0.5848,0.8621,4.0,879.416,772.736,60,watershed,setting60.jpg
66,0.94,1.094,1.7824,0.7363,0.9107,0.8319,38.1,891.0984042553191,681.6196808510638,60,watershed,setting60.jpg
67,0.4625,0.7674,0.9994,0.6934,0.7201,0.7551,87.9,884.9459459459459,978.8162162162162,60,watershed,setting60.jpg
68,0.535,0.8253,1.3866,0.5907,0.9047,0.8199,32.3,890.7803738317757,919.2663551401869,60,watershed,setting60.jpg
69,1.0425,1.1521,1.5592,0.9452,0.7953,0.7883,58.7,896.043165467626,642.5083932853717,60,watershed,setting60.jpg
70,0.2825,0.5997,0.73,0.5822,0.6034,0.8248,57.8,897.9380530973451,819.7964601769911,60,watershed,setting60.jpg
71,0.005,0.0798,0.1,0.0,1.0,1.0,40.5,898.0,682.5,60,watershed,setting60.jpg
72,0.455,0.7611,1.4046,0.5349,0.9246,0.7054,120.0,904.6758241758242,888.9835164835165,60,watershed,setting60.jpg
73,1.1925,1.2322,1.4948,1.1281,0.6561,0.8966,36.5,910.8238993710692,1005.3522012578617,60,watershed,setting60.jpg
74,0.1,0.3568,0.4663,0.3076,0.7515,0.8,117.7,905.6,883.8,60,watershed,setting60.jpg
75,0.685,0.9339,1.1117,0.8935,0.5949,0.8782,73.0,912.1824817518249,646.7810218978102,60,watershed,setting60.jpg
76,1.2175,1.2451,2.5516,0.7193,0.9594,0.7598,18.5,929.2895277207392,508.2628336755647,60,watershed,setting60.jpg
77,1.1075,1.1875,1.5607,0.9636,0.7867,0.8842,11.0,932.9638826185102,697.0970654627539,60,watershed,setting60.jpg
78,0.6325,0.8974,1.1195,0.8479,0.653,0.7931,28.6,925.7549407114625,487.7312252964427,60,watershed,setting60.jpg
79,1.61,1.4318,1.9461,1.1088,0.8218,0.875,28.8,940.804347826087,1080.8152173913043,60,watershed,setting60.jpg
80,1.295,1.2841,1.7136,1.1748,0.728,0.7265,53.0,942.5250965250965,767.7258687258687,60,watershed,setting60.jpg
81,0.2825,0.5997,0.8799,0.4194,0.8791,0.904,32.8,936.4513274336283,257.50442477876106,60,watershed,setting60.jpg
82,0.2925,0.6103,0.8311,0.5045,0.7947,0.854,59.4,941.8119658119658,974.3589743589744,60,watershed,setting60.jpg
83,0.3725,0.6887,0.8344,0.672,0.5927,0.8011,39.4,943.489932885906,949.0469798657718,60,watershed,setting60.jpg
84,4.7125,2.4495,4.7737,1.5808,0.9436,0.6845,24.2,981.0610079575597,1030.0997347480106,60,watershed,setting60.jpg
85,0.1875,0.4886,0.7621,0.3191,0.9081,0.9146,47.2,948.2933333333333,259.56,60,watershed,setting60.jpg
86,0.8375,1.0326,1.3267,0.8529,0.766,0.8333,65.1,951.776119402985,910.9671641791044,60,watershed,setting60.jpg
87,0.405,0.7181,1.0154,0.5407,0.8464,0.9101,10.9,948.0925925925926,800.8148148148148,60,watershed,setting60.jpg
88,0.285,0.6024,0.7466,0.5349,0.6976,0.8702,111.9,953.9912280701755,943.9736842105264,60,watershed,setting60.jpg
89,0.4825,0.7838,1.3529,0.5141,0.925,0.7689,33.2,954.901554404145,745.5025906735751,60,watershed,setting60.jpg
90,1.1625,1.2166,1.643,1.0041,0.7915,0.8708,32.7,966.8451612903226,731.1548387096774,60,watershed,setting60.jpg
91,0.4225,0.7334,1.4197,0.4234,0.9545,0.7824,13.8,964.4260355029586,587.0473372781065,60,watershed,setting60.jpg
92,0.6075,0.8795,1.3916,0.6489,0.8846,0.7764,47.0,973.40329218107,472.798353909465,60,watershed,setting60.jpg
93,0.2175,0.5262,0.5989,0.4851,0.5864,0.8969,45.5,970.6436781609195,848.8965517241379,60,watershed,setting60.jpg
94,0.295,0.6129,0.7958,0.5046,0.7733,0.9147,23.3,974.2457627118644,1220.5,60,watershed,setting60.jpg
95,0.315,0.6333,0.7269,0.5735,0.6144,0.9333,28.3,974.563492063492,964.5396825396825,60,watershed,setting60.jpg
96,0.5125,0.8078,1.0668,0.6701,0.7781,0.8798,15.4,980.1024390243903,619.4439024390244,60,watershed,setting60.jpg
97,1.5,1.382,1.9057,1.045,0.8362,0.8889,18.1,999.385,752.7333333333333,60,watershed,setting60.jpg
98,0.9525,1.1013,1.9924,0.9383,0.8821,0.6469,20.6,987.9501312335958,1096.1732283464567,60,watershed,setting60.jpg
99,0.725,0.9608,1.51,0.6231,0.9109,0.9446,8.6,996.9620689655172,261.45862068965516,60,watershed,setting60.jpg
100,1.59,1.4228,2.5867,0.8707,0.9416,0.798,16.9,1007.627358490566,933.8553459119497,60,watershed,setting60.jpg
101,0.4,0.7136,1.1211,0.4651,0.9099,0.884,17.7,1011.18125,845.31875,60,watershed,setting60.jpg
102,0.2,0.5046,0.7316,0.3642,0.8673,0.9091,10.1,1012.0,728.45,60,watershed,setting60.jpg
103,1.84,1.5306,1.8344,1.3348,0.6859,0.8836,17.3,1028.6317934782608,310.01494565217394,60,watershed,setting60.jpg
104,2.17,1.6622,2.9596,1.0223,0.9384,0.8158,23.6,1043.963133640553,654.2592165898618,60,watershed,setting60.jpg
