label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
2,0.33,0.6482,0.7962,0.5614,0.7091,0.9296,4.7,73.97727272727273,507.6136363636364,60,watershed,setting60-4.jpg
4,1.175,1.2231,1.4433,1.0654,0.6746,0.9457,5.1,311.67446808510635,733.8765957446808,60,watershed,setting60-4.jpg
5,2.0125,1.6007,1.949,1.4229,0.6834,0.8385,6.1,329.488198757764,673.888198757764,60,watershed,setting60-4.jpg
6,1.2,1.2361,1.5143,1.0686,0.7086,0.8602,2.7,338.59583333333336,704.9625,60,watershed,setting60-4.jpg
7,0.49,0.7899,0.9078,0.7108,0.6221,0.9469,6.3,339.10714285714283,943.9948979591836,60,watershed,setting60-4.jpg
8,0.1975,0.5015,0.6461,0.4127,0.7694,0.9186,8.7,352.39240506329116,700.2278481012659,60,watershed,setting60-4.jpg
9,1.44,1.3541,2.1193,0.9416,0.8959,0.7923,3.9,367.34027777777777,539.1371527777778,60,watershed,setting60-4.jpg
10,0.59,0.8667,1.2112,0.6443,0.8468,0.9112,6.6,418.6779661016949,738.1398305084746,60,watershed,setting60-4.jpg
11,1.2875,1.2803,1.542,1.0972,0.7027,0.918,1.8,434.83300970873785,632.0233009708738,60,watershed,setting60-4.jpg
12,0.42,0.7313,1.4633,0.6872,0.8829,0.5545,10.0,425.95238095238096,671.7380952380952,60,watershed,setting60-4.jpg
13,1.8625,1.5399,2.1988,1.1887,0.8413,0.8287,2.5,446.0993288590604,595.6724832214765,60,watershed,setting60-4.jpg
14,1.175,1.2231,1.4852,1.0704,0.6932,0.864,1.9,448.67021276595744,703.2191489361702,60,watershed,setting60-4.jpg
15,0.545,0.833,1.2717,0.6079,0.8783,0.845,10.6,449.2110091743119,524.0,60,watershed,setting60-4.jpg
16,0.3725,0.6887,0.7733,0.6333,0.5738,0.949,0.9,451.36241610738256,615.51677852349,60,watershed,setting60-4.jpg
17,1.5525,1.406,1.7041,1.1787,0.7222,0.9367,5.6,462.9323671497585,947.9339774557166,60,watershed,setting60-4.jpg
18,0.8325,1.0295,1.3344,0.9557,0.6979,0.745,5.8,462.25525525525524,988.0900900900901,60,watershed,setting60-4.jpg
19,1.2575,1.2653,1.4286,1.1418,0.601,0.9349,0.9,475.04373757455267,628.8628230616303,60,watershed,setting60-4.jpg
20,0.2825,0.5997,0.8188,0.4924,0.799,0.7902,4.2,465.78761061946904,746.3539823008849,60,watershed,setting60-4.jpg
21,1.3175,1.2952,1.7867,0.9764,0.8375,0.9246,0.8,485.3776091081594,551.673624288425,60,watershed,setting60-4.jpg
22,1.5625,1.4105,1.9517,1.3424,0.7259,0.7135,5.7,496.1408,846.9392,60,watershed,setting60-4.jpg
23,0.23,0.5412,0.6338,0.4696,0.6716,0.9388,2.1,491.8695652173913,637.2826086956521,60,watershed,setting60-4.jpg
24,1.1175,1.1928,1.8612,0.7989,0.9032,0.873,1.0,500.2102908277405,662.0335570469799,60,watershed,setting60-4.jpg
25,0.275,0.5917,0.7042,0.5139,0.6837,0.9322,9.1,500.7090909090909,642.8818181818182,60,watershed,setting60-4.jpg
26,0.5825,0.8612,1.161,0.6624,0.8213,0.9209,1.2,523.1244635193133,868.4892703862661,60,watershed,setting60-4.jpg
27,1.5525,1.406,2.2094,1.0559,0.8784,0.7951,24.4,532.4685990338164,964.9082125603865,60,watershed,setting60-4.jpg
28,0.53,0.8215,1.3398,0.5131,0.9238,0.8945,1.5,548.122641509434,490.12264150943395,60,watershed,setting60-4.jpg
29,0.625,0.8921,1.2577,0.7203,0.8198,0.8251,2.8,560.596,1051.768,60,watershed,setting60-4.jpg
30,0.3925,0.7069,0.9187,0.5622,0.7909,0.9345,0.7,558.828025477707,737.6624203821656,60,watershed,setting60-4.jpg
31,1.6675,1.4571,1.7346,1.377,0.6081,0.7494,3.5,576.5997001499251,1015.983508245877,60,watershed,setting60-4.jpg
32,1.015,1.1368,1.4483,0.9894,0.7303,0.7976,14.1,572.1330049261084,845.7142857142857,60,watershed,setting60-4.jpg
