label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
179,0.2725,0.589,0.6248,0.5776,0.3816,0.9008,19.4,1304.6422018348624,235.61467889908258,40,watershed,40 IMG20260216081714 (1).jpg
180,0.2325,0.5441,0.6477,0.4783,0.6743,0.9029,6.7,1310.6021505376343,724.4623655913979,40,watershed,40 IMG20260216081714 (1).jpg
181,0.4875,0.7878,1.2624,0.6329,0.8652,0.7831,10.8,1337.051282051282,405.6871794871795,40,watershed,40 IMG20260216081714 (1).jpg
182,0.3025,0.6206,0.8416,0.4667,0.8322,0.9098,12.3,1351.5785123966941,711.4628099173553,40,watershed,40 IMG20260216081714 (1).jpg
183,0.0975,0.3523,0.4676,0.2838,0.7947,0.8864,18.7,1351.923076923077,720.6410256410256,40,watershed,40 IMG20260216081714 (1).jpg
184,0.26,0.5754,0.8303,0.4688,0.8254,0.8,21.6,1377.4711538461538,698.5384615384615,40,watershed,40 IMG20260216081714 (1).jpg
185,0.135,0.4146,0.5257,0.3609,0.7271,0.8438,30.5,1396.111111111111,666.3148148148148,40,watershed,40 IMG20260216081714 (1).jpg
186,0.73,0.9641,1.1706,0.8054,0.7257,0.9211,11.1,1406.695205479452,424.97945205479454,40,watershed,40 IMG20260216081714 (1).jpg
187,1.0325,1.1466,1.3471,1.1831,0.4781,0.8277,6.9,1426.9200968523003,407.02905569007265,40,watershed,40 IMG20260216081714 (1).jpg
188,0.2625,0.5781,0.8503,0.4168,0.8717,0.8824,23.3,1434.9809523809524,805.5428571428571,40,watershed,40 IMG20260216081714 (1).jpg
189,0.1725,0.4687,0.5305,0.4176,0.6167,0.9718,35.5,1436.5072463768115,657.7971014492754,40,watershed,40 IMG20260216081714 (1).jpg
190,0.4925,0.7919,0.9387,0.7274,0.6321,0.8419,36.0,1474.7055837563453,953.1928934010152,40,watershed,40 IMG20260216081714 (1).jpg
191,0.455,0.7611,1.3495,0.4811,0.9343,0.8311,75.2,1493.60989010989,813.6648351648352,40,watershed,40 IMG20260216081714 (1).jpg
192,0.42,0.7313,0.9132,0.6193,0.7349,0.8571,45.6,1507.142857142857,636.1309523809524,40,watershed,40 IMG20260216081714 (1).jpg
193,0.33,0.6482,0.8873,0.484,0.8381,0.9041,116.2,1513.2121212121212,361.07575757575756,40,watershed,40 IMG20260216081714 (1).jpg
194,0.1325,0.4107,0.5745,0.312,0.8397,0.8689,70.8,1511.8490566037735,708.1698113207547,40,watershed,40 IMG20260216081714 (1).jpg
195,0.21,0.5171,0.8343,0.3485,0.9086,0.875,71.2,1535.357142857143,271.79761904761904,40,watershed,40 IMG20260216081714 (1).jpg
196,0.3775,0.6933,0.9456,0.5896,0.7819,0.8032,53.4,1701.9867549668875,462.97350993377484,40,watershed,40 IMG20260216081714 (1).jpg
197,0.285,0.6024,1.0752,0.3943,0.9303,0.755,58.1,1710.078947368421,448.39473684210526,40,watershed,40 IMG20260216081714 (1).jpg
198,1.3275,1.3001,2.8905,0.7268,0.9679,0.6262,96.5,1717.6572504708097,420.98870056497174,40,watershed,40 IMG20260216081714 (1).jpg
199,0.2875,0.605,0.9147,0.4773,0.8531,0.7143,40.4,1725.6521739130435,489.2,40,watershed,40 IMG20260216081714 (1).jpg
200,0.2775,0.5944,1.1573,0.3484,0.9536,0.7551,95.8,1723.2342342342342,506.54954954954957,40,watershed,40 IMG20260216081714 (1).jpg
201,1.4775,1.3716,3.0806,0.9965,0.9462,0.5153,42.8,1738.6937394247038,469.79695431472084,40,watershed,40 IMG20260216081714 (1).jpg
202,0.0475,0.2459,0.54,0.1468,0.9623,0.6333,31.2,1729.0,480.5263157894737,40,watershed,40 IMG20260216081714 (1).jpg
203,1.125,1.1968,2.4425,0.6477,0.9642,0.7965,62.0,1744.2333333333333,432.5933333333333,40,watershed,40 IMG20260216081714 (1).jpg
