label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.525,0.8176,0.9981,0.6816,0.7306,0.9502,2.1,11.361904761904762,638.052380952381,60,watershed,setting60-2.jpg
3,1.39,1.3303,1.7288,1.0375,0.7999,0.9392,2.4,301.4730215827338,686.9478417266187,60,watershed,setting60-2.jpg
4,1.655,1.4516,1.9363,1.4268,0.676,0.7548,3.2,373.4818731117825,793.1012084592145,60,watershed,setting60-2.jpg
5,0.7575,0.9821,1.3172,0.7548,0.8195,0.9381,2.8,385.1419141914191,925.9471947194719,60,watershed,setting60-2.jpg
6,0.695,0.9407,1.2649,0.7133,0.8258,0.9236,12.4,386.1978417266187,1044.1223021582734,60,watershed,setting60-2.jpg
7,0.46,0.7653,0.954,0.6781,0.7034,0.8804,5.5,391.375,890.5815217391304,60,watershed,setting60-2.jpg
8,0.43,0.7399,0.8657,0.6446,0.6675,0.9297,13.3,389.84302325581393,906.3779069767442,60,watershed,setting60-2.jpg
9,0.2125,0.5202,0.6149,0.4593,0.6649,0.9341,5.4,416.11764705882354,820.2235294117647,60,watershed,setting60-2.jpg
10,0.255,0.5698,0.6105,0.5532,0.4232,0.9107,11.6,420.03921568627453,990.0098039215686,60,watershed,setting60-2.jpg
11,0.4075,0.7203,0.7895,0.7008,0.4604,0.8811,2.6,427.22085889570553,745.1042944785277,60,watershed,setting60-2.jpg
12,0.6825,0.9322,1.0025,0.9088,0.4221,0.9161,1.1,453.98168498168496,730.1721611721612,60,watershed,setting60-2.jpg
13,1.455,1.3611,1.886,1.0105,0.8444,0.9282,0.5,490.8848797250859,842.5979381443299,60,watershed,setting60-2.jpg
14,0.825,1.0249,1.1053,1.0206,0.384,0.8661,1.6,494.8727272727273,794.6878787878788,60,watershed,setting60-2.jpg
15,0.95,1.0998,1.3092,0.9923,0.6523,0.8696,1.6,512.1736842105263,588.4947368421052,60,watershed,setting60-2.jpg
16,0.54,0.8292,1.1375,0.6345,0.83,0.9432,8.2,511.73148148148147,991.8703703703703,60,watershed,setting60-2.jpg
17,0.425,0.7356,0.9297,0.6156,0.7494,0.8901,1.8,517.0588235294117,845.5882352941177,60,watershed,setting60-2.jpg
18,0.3225,0.6408,0.736,0.5741,0.6259,0.9214,1.8,534.2248062015503,644.7286821705426,60,watershed,setting60-2.jpg
19,0.5625,0.8463,0.9058,0.8068,0.4545,0.9414,2.2,541.2755555555556,509.35555555555555,60,watershed,setting60-2.jpg
20,0.69,0.9373,1.215,0.7503,0.7866,0.8932,0.9,547.4710144927536,807.1485507246376,60,watershed,setting60-2.jpg
