label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
1,0.005,0.0798,0.1,0.0,1.0,1.0,115.0,1.0,364.5,40,watershed,setting40-3.jpg
12,0.2875,0.605,0.8123,0.4616,0.8228,0.8846,21.2,247.4,806.9826086956522,40,watershed,setting40-3.jpg
13,0.275,0.5917,0.679,0.5305,0.6242,0.9821,14.8,257.44545454545454,772.8909090909091,40,watershed,setting40-3.jpg
14,0.24,0.5528,0.5831,0.5291,0.4202,0.9231,12.5,269.7708333333333,695.2708333333334,40,watershed,setting40-3.jpg
15,0.4075,0.7203,0.8567,0.6907,0.5917,0.8316,11.0,293.7852760736196,792.680981595092,40,watershed,setting40-3.jpg
16,1.0175,1.1382,1.6964,0.8192,0.8757,0.834,13.6,300.5847665847666,728.2604422604422,40,watershed,setting40-3.jpg
17,0.7925,1.0045,1.6128,0.7197,0.8949,0.8298,20.3,303.42586750788644,765.397476340694,40,watershed,setting40-3.jpg
18,0.1975,0.5015,0.5861,0.4553,0.6299,0.9405,28.1,306.82278481012656,712.632911392405,40,watershed,setting40-3.jpg
19,0.3725,0.6887,1.1148,0.4938,0.8966,0.8142,20.6,320.96644295302013,796.1140939597316,40,watershed,setting40-3.jpg
20,0.1925,0.4951,0.6656,0.3833,0.8175,0.9059,28.0,329.42857142857144,602.1688311688312,40,watershed,setting40-3.jpg
21,0.495,0.7939,0.8799,0.7297,0.5587,0.934,7.5,353.85858585858585,460.4191919191919,40,watershed,setting40-3.jpg
28,0.205,0.5109,0.8225,0.3363,0.9126,0.8542,43.9,368.719512195122,812.780487804878,40,watershed,setting40-3.jpg
29,0.3125,0.6308,0.8734,0.4963,0.8229,0.8503,14.1,390.92,811.304,40,watershed,setting40-3.jpg
30,0.2425,0.5557,0.9097,0.3741,0.9115,0.8739,14.8,401.74226804123714,797.9587628865979,40,watershed,setting40-3.jpg
31,0.19,0.4918,0.7825,0.4116,0.8505,0.6786,32.8,411.4868421052632,586.6842105263158,40,watershed,setting40-3.jpg
32,0.2425,0.5557,0.6615,0.5095,0.6377,0.8899,13.0,447.30927835051546,756.1134020618557,40,watershed,setting40-3.jpg
33,0.255,0.5698,0.6629,0.5004,0.6558,0.9444,6.7,450.0,573.4313725490196,40,watershed,setting40-3.jpg
34,0.2875,0.605,0.7877,0.4732,0.7995,0.935,6.9,462.7913043478261,734.6869565217391,40,watershed,setting40-3.jpg
35,0.3975,0.7114,1.0517,0.4888,0.8854,0.9298,13.6,476.3207547169811,1096.4842767295597,40,watershed,setting40-3.jpg
36,0.22,0.5293,0.584,0.4926,0.5373,0.9462,24.8,487.14772727272725,1034.3977272727273,40,watershed,setting40-3.jpg
37,0.7625,0.9853,1.0336,0.9548,0.3828,0.9187,15.8,516.8852459016393,1113.5245901639344,40,watershed,setting40-3.jpg
38,0.345,0.6628,1.0011,0.5399,0.8421,0.7797,10.2,514.5289855072464,1129.8333333333333,40,watershed,setting40-3.jpg
39,0.535,0.8253,1.0673,0.665,0.7822,0.9386,0.4,522.1168224299065,552.7289719626168,40,watershed,setting40-3.jpg
40,0.33,0.6482,0.7915,0.6054,0.6442,0.8354,3.1,518.6818181818181,529.5833333333334,40,watershed,setting40-3.jpg
41,0.3825,0.6979,0.8525,0.6059,0.7034,0.9,14.4,534.2418300653595,979.2941176470588,40,watershed,setting40-3.jpg
42,0.535,0.8253,0.9071,0.7582,0.5488,0.9596,0.4,538.8878504672897,514.7990654205607,40,watershed,setting40-3.jpg
43,0.4475,0.7548,0.9728,0.6266,0.7649,0.904,13.7,553.9050279329609,1103.8938547486034,40,watershed,setting40-3.jpg
44,0.3925,0.7069,0.7368,0.6901,0.3502,0.9345,4.5,592.0127388535032,289.2611464968153,40,watershed,setting40-3.jpg
45,0.265,0.5809,0.7157,0.4981,0.7181,0.9217,20.8,590.7169811320755,1133.2075471698113,40,watershed,setting40-3.jpg
46,0.2975,0.6155,0.7095,0.5448,0.6407,0.9297,24.0,595.8739495798319,1188.453781512605,40,watershed,setting40-3.jpg
47,0.235,0.547,0.8206,0.4384,0.8454,0.7642,12.7,596.8936170212766,1104.2021276595744,40,watershed,setting40-3.jpg
48,0.4825,0.7838,0.8616,0.7327,0.5261,0.9234,22.1,603.0103626943005,1224.2072538860104,40,watershed,setting40-3.jpg
49,0.325,0.6433,0.7332,0.5763,0.6182,0.9489,0.2,603.4384615384615,697.8,40,watershed,setting40-3.jpg
50,0.045,0.2394,0.353,0.2128,0.7978,0.75,28.8,606.0,1104.4444444444443,40,watershed,setting40-3.jpg
51,0.36,0.677,0.9237,0.5179,0.8281,0.8889,11.4,612.2361111111111,1197.1805555555557,40,watershed,setting40-3.jpg
52,0.2325,0.5441,0.6541,0.4669,0.7002,0.93,0.6,615.0,683.6989247311828,40,watershed,setting40-3.jpg
53,0.68,0.9305,0.9944,0.926,0.3644,0.9379,2.4,620.75,995.8529411764706,40,watershed,setting40-3.jpg
54,0.2675,0.5836,0.9053,0.403,0.8954,0.8359,29.7,617.4953271028037,1072.8971962616822,40,watershed,setting40-3.jpg
55,0.23,0.5412,0.6301,0.5084,0.5907,0.8932,20.4,629.6630434782609,1052.2065217391305,40,watershed,setting40-3.jpg
56,0.6375,0.9009,0.9869,0.8818,0.4491,0.8733,11.0,635.2941176470588,1075.8196078431372,40,watershed,setting40-3.jpg
57,0.815,1.0187,1.1891,0.9871,0.5576,0.7743,13.5,646.5,1101.776073619632,40,watershed,setting40-3.jpg
58,0.3075,0.6257,0.822,0.4828,0.8093,0.9248,22.9,645.1219512195122,1238.0650406504064,40,watershed,setting40-3.jpg
59,0.9975,1.127,1.6844,0.9726,0.8164,0.7228,9.1,655.3082706766917,1063.6791979949874,40,watershed,setting40-3.jpg
60,1.1725,1.2218,1.5382,1.1679,0.6508,0.845,2.1,663.3710021321962,1017.9211087420042,40,watershed,setting40-3.jpg
61,0.27,0.5863,0.6793,0.5293,0.6267,0.8852,24.0,653.6944444444445,1154.6759259259259,40,watershed,setting40-3.jpg
62,0.285,0.6024,0.7127,0.5404,0.6521,0.8507,16.7,666.5701754385965,1153.2631578947369,40,watershed,setting40-3.jpg
63,0.4025,0.7159,1.0411,0.6024,0.8156,0.7385,2.6,667.4347826086956,693.7018633540373,40,watershed,setting40-3.jpg
64,0.16,0.4514,0.4999,0.4657,0.3633,0.8421,33.7,677.453125,1147.28125,40,watershed,setting40-3.jpg
65,0.87,1.0525,1.3108,0.9016,0.7259,0.8614,1.6,683.9540229885057,710.6178160919541,40,watershed,setting40-3.jpg
66,0.6625,0.9184,1.0225,0.8479,0.559,0.9075,17.4,691.6679245283019,1239.3886792452831,40,watershed,setting40-3.jpg
67,0.4175,0.7291,0.8203,0.6843,0.5514,0.9278,0.9,690.5508982035929,356.748502994012,40,watershed,setting40-3.jpg
68,0.8875,1.063,1.4506,0.8038,0.8325,0.901,3.7,699.1971830985915,735.1211267605634,40,watershed,setting40-3.jpg
69,0.4575,0.7632,0.9794,0.6181,0.7757,0.9104,4.3,700.5136612021857,981.6612021857924,40,watershed,setting40-3.jpg
